date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-19,12,266.19,1440.5693877551025
2014-01-19,13,531.02,1966.920408163265
2014-01-19,14,1093.83,2459.495918367347
2014-01-19,15,1339.11,2650.677551020408
2014-01-19,16,1666.79,2222.5530612244893
2014-01-19,17,2188.05,2383.951020408164
2014-01-19,18,2652.55,2678.0632653061225
2014-01-19,19,2646.53,2929.338775510205
2014-01-19,20,2782.42,3143.0061224489796
2014-01-19,21,3266.73,3381.548979591837
2014-01-19,22,3719.93,3413.1734693877556
2014-01-19,23,3356.09,3693.7387755102045
2014-01-20,0,4493.26,4601.769387755102
2014-01-20,1,6154.83,5608.122448979592
2014-01-20,2,6949.19,6302.810204081633
2014-01-20,3,7835.47,6986.597959183673
2014-01-20,4,7832.8,7380.602040816325
2014-01-20,5,7604.83,7638.765306122446
2014-01-20,6,7773.05,7695.577551020409
2014-01-20,7,7620.4,7598.897959183675
2014-01-20,8,7381.39,7422.536734693877
2014-01-20,9,6990.28,7225.316326530615
2014-01-20,10,6596.58,7079.91836734694
2014-01-20,11,6448.78,6824.497959183673
2014-01-20,12,6399.83,6456.0836734693885
2014-01-20,13,6217.35,6121.889795918368
2014-01-20,14,5597.23,5361.244897959184
2014-01-20,15,4181.61,4094.7122448979585
2014-01-20,16,3497.61,3418.108163265306
2014-01-20,17,2761.12,3114.0204081632655
2014-01-20,18,3245.35,3122.1285714285714
2014-01-20,19,4013.31,3565.5061224489787
2014-01-20,20,4917.09,4270.35918367347
2014-01-20,21,5219.65,4993.773469387756
2014-01-20,22,5680.08,5555.659183673469
2014-01-20,23,5606.14,5930.953061224492
2014-01-21,0,6366.72,6495.632653061224
2014-01-21,1,7948.71,6967.659183673469
2014-01-21,2,7970.64,7221.065306122448
2014-01-21,3,7610.37,7117.506122448981
2014-01-21,4,7279.48,6805.3877551020405
2014-01-21,5,6504.32,6412.661224489794
2014-01-21,6,5934.18,6044.565306122448
2014-01-21,7,6301.72,5831.806122448978
2014-01-21,8,6580.7,5773.991836734694
2014-01-21,9,6773.34,5550.865306122449
2014-01-21,10,6766.2,5114.5428571428565
2014-01-21,11,6500.43,4489.187755102041
2014-01-21,12,6027.02,3777.1142857142854
2014-01-21,13,4981.7,3027.773469387756
2014-01-21,14,3662.49,2486.073469387755
2014-01-21,15,2596.83,2016.997959183673
2014-01-21,16,2064.67,1726.4081632653067
2014-01-21,17,1520.21,1521.2653061224485
2014-01-21,18,1084.72,1400.0020408163261
2014-01-21,19,1112.9,1435.4653061224487
2014-01-21,20,1603.39,1738.212244897959
2014-01-21,21,2020.24,2157.8
2014-01-21,22,2379.55,2491.6142857142854
2014-01-21,23,2697.39,2658.5448979591833
2014-01-22,0,3597.37,3565.814285714285
2014-01-22,1,5297.3,4839.712244897958
2014-01-22,2,6258.78,5952.16530612245
2014-01-22,3,6409.23,6533.946938775508
2014-01-22,4,6368.29,6753.714285714284
2014-01-22,5,6171.08,6834.475510204083
2014-01-22,6,5979.51,6779.487755102041
2014-01-22,7,5743.06,6557.561224489798
2014-01-22,8,5120.84,6173.061224489796
2014-01-22,9,4696.96,5695.946938775508
2014-01-22,10,4236.17,5209.895918367348
2014-01-22,11,3840.31,4691.159183673471
2014-01-22,12,3690.2,4113.434693877551
2014-01-22,13,3658.84,3546.6204081632645
2014-01-22,14,3486.73,2848.191836734694
2014-01-22,15,1995.44,1979.9816326530608
2014-01-22,16,1186.46,1534.3632653061225
2014-01-22,17,1097.65,1508.6612244897965
2014-01-22,18,1068.36,1545.295918367347
2014-01-22,19,1180.18,1575.9367346938775
2014-01-22,20,1566.78,1663.5959183673472
2014-01-22,21,1954.74,1926.522448979592
2014-01-22,22,2732.29,2312.1877551020407
2014-01-22,23,3240.4,3059.2795918367356
2014-01-23,0,4315.52,4255.516326530612
2014-01-23,1,5142.83,5385.6693877551015
2014-01-23,2,5733.97,6092.4163265306115
2014-01-23,3,6262.49,6500.065306122449
2014-01-23,4,6740.68,6712.167346938776
2014-01-23,5,6975.07,6853.451020408165
2014-01-23,6,7288.07,7030.289795918366
2014-01-23,7,7639.49,7318.626530612244
2014-01-23,8,8023.27,7623.289795918368
2014-01-23,9,8280.53,7832.087755102039
2014-01-23,10,8274.76,7938.6061224489795
2014-01-23,11,8267.18,8004.793877551018
2014-01-23,12,8367.14,8029.008163265308
2014-01-23,13,8373.41,7995.171428571429
2014-01-23,14,8292.14,7942.955102040816
2014-01-23,15,8106.59,7823.26530612245
2014-01-23,16,8143.65,7719.7734693877555
2014-01-23,17,8332.09,7562.502040816326
2014-01-23,18,8468.92,7294.885714285716
2014-01-23,19,8513.46,7150.548979591837
2014-01-23,20,8580.74,6991.140816326531
2014-01-23,21,8828.31,6843.222448979591
2014-01-23,22,8709.78,6639.163265306122
2014-01-23,23,8535.47,6335.491836734694
2014-01-24,0,8271.87,6129.185714285713
2014-01-24,1,7799.75,5748.306122448981
2014-01-24,2,6877.46,5340.748979591837
2014-01-24,3,6001.77,4848.930612244899
2014-01-24,4,4809.62,4300.399999999999
2014-01-24,5,4293.12,3693.9142857142865
2014-01-24,6,3784.23,3178.3857142857137
2014-01-24,7,3304.85,2730.64081632653
2014-01-24,8,2929.8,2350.755102040817
2014-01-24,9,2549.25,2111.5346938775506
2014-01-24,10,2083.17,1973.1081632653054
2014-01-24,11,1845.84,1941.0999999999997
2014-01-24,12,1729.66,2023.2367346938784
2014-01-24,13,1643.47,2217.6979591836734
2014-01-24,14,1706.81,2451.034693877551
2014-01-24,15,1802.78,2368.44693877551
